respid,cell,rweight,tv,radio,ooh,online,social,sp_aw,relv,laugh,think,recom,talk,purchase,intent
32,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,1
33,2,0.5832,0,0,0,0,0,0,1,1,1,1,0,0,1
34,3,1.9541,0,0,0,0,0,0,0,0,0,1,0,0,0
35,1,0.9082,1,0,1,1,1,0,1,1,1,1,1,1,1
36,2,1.9003,0,0,0,0,0,0,1,1,1,1,0,0,0
39,3,0.7835,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,1.1108,0,0,0,0,0,0,0,0,0,1,0,0,0
43,1,1.2039,0,0,0,0,0,0,1,1,1,1,0,0,0
43,4,2.134612014,0,1,1,0,0,0,0,0,0,0,0,0,1
44,1,0.8874,1,0,1,0,0,0,0,1,1,0,0,0,1
45,2,1.1589,1,0,0,0,0,1,0,0,0,0,0,0,1
46,3,1.5914,0,0,0,0,0,0,1,1,0,1,0,0,0
47,1,0.9082,1,0,0,0,0,1,1,1,1,1,0,0,1
48,3,0.6411,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,1.1108,0,0,0,0,0,0,1,1,1,1,1,0,1
51,3,0.7103,0,0,0,0,0,0,1,1,1,1,0,0,1
52,1,0.8112,0,0,0,0,0,1,1,0,1,1,1,1,1
53,3,1.1773,1,1,0,0,0,0,0,1,1,0,0,0,1
53,4,0.902367157,0,1,0,0,0,0,0,0,0,0,0,0,0
54,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,1
55,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2,0.5832,0,0,0,0,0,0,0,0,0,1,0,0,0
58,3,0.7835,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,0.8112,0,0,1,1,1,0,0,0,0,1,1,0,0
62,1,0.9082,0,0,0,0,0,1,1,1,1,1,1,1,1
63,2,1.3372,0,1,0,1,0,1,1,1,0,1,0,0,1
64,1,1.3158,1,0,0,1,0,0,0,0,0,0,0,0,0
65,4,0.805227583,0,0,0,0,0,0,1,1,1,1,0,0,0
66,1,0.9958,0,0,0,0,0,0,0,0,0,0,0,0,1
67,2,0.7009,0,0,0,0,0,0,0,0,0,0,0,1,1
67,4,1.514352138,0,0,0,0,0,0,0,0,0,1,1,0,0
68,3,0.7265,1,0,0,0,0,0,0,0,0,0,0,0,0
69,1,0.8874,0,0,0,0,0,0,0,0,0,0,0,0,0
69,4,0.805227583,0,0,0,0,0,0,1,0,1,1,0,0,0
70,1,0.8874,0,0,0,1,1,1,1,0,0,1,1,0,1
72,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
72,4,0.759526474,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,0.5275,0,0,0,0,0,0,1,1,1,1,0,0,0
74,1,0.9958,0,0,0,0,0,1,1,1,0,0,0,0,0
75,1,2.0028,0,0,0,0,0,1,1,0,1,1,0,1,1
76,1,0.5275,0,0,0,0,0,0,0,0,1,0,0,1,0
79,2,1.5475,1,1,1,0,0,0,0,0,0,0,0,0,1
79,4,0.772235272,0,0,0,0,0,0,0,0,0,0,0,0,1
81,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,1.0962,0,0,0,0,0,0,0,0,0,0,0,1,1
