"","respid","cell","rweight","tv","radio","ooh","online","social","sp_aw","relv","laugh","think","recom","talk","purchase","intent","ID","cluster"
"1",32,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"2",33,2,0.5832,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1
"3",34,3,1.9541,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1
"4",35,1,0.9082,1,0,1,1,1,0,1,1,1,1,1,1,1,4,2
"5",36,2,1.9003,0,0,0,0,0,0,1,1,1,1,0,0,0,5,1
"6",39,3,0.7835,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
"7",41,1,1.1108,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1
"8",43,1,1.2039,0,0,0,0,0,0,1,1,1,1,0,0,0,8,1
"9",43,4,2.134612014,0,1,1,0,0,0,0,0,0,0,0,0,1,9,2
"10",44,1,0.8874,1,0,1,0,0,0,0,1,1,0,0,0,1,10,2
"11",45,2,1.1589,1,0,0,0,0,1,0,0,0,0,0,0,1,11,3
"12",46,3,1.5914,0,0,0,0,0,0,1,1,0,1,0,0,0,12,1
"13",47,1,0.9082,1,0,0,0,0,1,1,1,1,1,0,0,1,13,3
"14",48,3,0.6411,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
"15",50,1,1.1108,0,0,0,0,0,0,1,1,1,1,1,0,1,15,1
"16",51,3,0.7103,0,0,0,0,0,0,1,1,1,1,0,0,1,16,1
"17",52,1,0.8112,0,0,0,0,0,1,1,0,1,1,1,1,1,17,1
"18",53,3,1.1773,1,1,0,0,0,0,0,1,1,0,0,0,1,18,4
"19",53,4,0.902367157,0,1,0,0,0,0,0,0,0,0,0,0,0,19,4
"20",54,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1
"21",55,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
"22",57,2,0.5832,0,0,0,0,0,0,0,0,0,1,0,0,0,22,1
"23",58,3,0.7835,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
"24",60,1,0.8112,0,0,1,1,1,0,0,0,0,1,1,0,0,24,2
"25",62,1,0.9082,0,0,0,0,0,1,1,1,1,1,1,1,1,25,1
"26",63,2,1.3372,0,1,0,1,0,1,1,1,0,1,0,0,1,26,4
"27",64,1,1.3158,1,0,0,1,0,0,0,0,0,0,0,0,0,27,5
"28",65,4,0.805227583,0,0,0,0,0,0,1,1,1,1,0,0,0,28,1
"29",66,1,0.9958,0,0,0,0,0,0,0,0,0,0,0,0,1,29,1
"30",67,2,0.7009,0,0,0,0,0,0,0,0,0,0,0,1,1,30,1
"31",67,4,1.514352138,0,0,0,0,0,0,0,0,0,1,1,0,0,31,1
"32",68,3,0.7265,1,0,0,0,0,0,0,0,0,0,0,0,0,32,3
"33",69,1,0.8874,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
"34",69,4,0.805227583,0,0,0,0,0,0,1,0,1,1,0,0,0,34,1
"35",70,1,0.8874,0,0,0,1,1,1,1,0,0,1,1,0,1,35,5
"36",72,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1
"37",72,4,0.759526474,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1
"38",73,1,0.5275,0,0,0,0,0,0,1,1,1,1,0,0,0,38,1
"39",74,1,0.9958,0,0,0,0,0,1,1,1,0,0,0,0,0,39,1
"40",75,1,2.0028,0,0,0,0,0,1,1,0,1,1,0,1,1,40,1
"41",76,1,0.5275,0,0,0,0,0,0,0,0,1,0,0,1,0,41,1
"42",79,2,1.5475,1,1,1,0,0,0,0,0,0,0,0,0,1,42,2
"43",79,4,0.772235272,0,0,0,0,0,0,0,0,0,0,0,0,1,43,1
"44",81,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1
"45",82,1,1.0962,0,0,0,0,0,0,0,0,0,0,0,1,1,45,1
"46",83,1,0.8874,1,0,0,1,0,0,0,1,1,1,1,0,1,46,5
"47",84,1,1.1108,0,0,0,0,0,1,1,1,1,1,0,0,1,47,1
"48",84,4,0.772235272,0,0,0,0,0,0,1,1,1,1,0,0,0,48,1
"49",85,3,0.7265,0,1,0,0,0,0,0,0,1,1,0,0,0,49,4
"50",86,4,1.494292312,1,0,0,1,0,0,1,0,1,0,0,1,1,50,5
"51",88,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1
"52",89,1,0.8874,0,0,0,0,0,0,1,1,1,1,0,1,1,52,1
"53",91,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,1,53,1
"54",92,1,1.0301,1,1,0,0,1,0,1,1,0,1,1,0,0,54,4
"55",94,1,1.1108,0,0,0,0,0,0,1,1,1,1,1,0,1,55,1
"56",95,1,0.5486,0,0,0,0,0,0,0,0,0,0,0,0,1,56,1
"57",97,3,0.7103,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1
"58",97,4,0.577361825,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1
"59",98,1,1.1108,0,0,0,0,0,0,1,0,1,1,0,0,0,59,1
"60",99,1,2.0028,0,0,0,0,0,1,1,0,1,1,1,0,1,60,1
"61",101,1,0.8874,1,0,1,1,0,0,1,1,1,1,1,1,1,61,2
